Area,Width,Length,Bedrooms,Bathrooms,Floors,Alley Width,Agent Listing Count,is_luxury,District_Huyện Bình Chánh,District_Huyện Cần Giờ,District_Huyện Củ Chi,District_Huyện Hóc Môn,District_Huyện Nhà Bè,District_Huyện Thanh Quan,District_Quận 1,District_Quận 10,District_Quận 11,District_Quận 12,District_Quận 2,District_Quận 3,District_Quận 4,District_Quận 5,District_Quận 6,District_Quận 7,District_Quận 8,District_Quận 9,District_Quận Bình Thạnh,District_Quận Bình Tân,District_Quận Gò Vấp,District_Quận Phú Nhuận,District_Quận Thủ Đức,District_Quận Thủ Đức (Cũ),District_Quận Tân Bình,District_Quận Tân Phú,District_TP. Hồ Chí Minh,District_TP. Hồ Chí Minh(Mới),District_Unknown,"Property Type_Kho, nhà xưởng",Property Type_Khách sạn,Property Type_Nhà riêng,Property Type_Nhà trọ,Property Type_Văn phòng,Property Type_Đất,Position_Unknown,Position_Đường chính,Direction_Nam,Direction_Tây,Direction_Tây Bắc,Direction_Tây Nam,Direction_Unknown,Direction_Đông,Direction_Đông Bắc,Direction_Đông Nam,Road Type_Đường bê tông,Road Type_Đường nhựa,Road Type_Đường đá,Road Type_Đường đất,Agent Role_Môi giới,Price
-0.0078116901840499485,-0.03124053808436483,-0.04018923155906738,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.08824663176965335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.94910546953925
-0.007688357843463981,0.021773704891241148,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.46260985235651125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.61587214452889
-0.007810639490318191,-0.029347172263807474,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.46260985235651125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.31898612539206
-0.007813887089125442,-0.029347172263807474,-0.024134178436683716,-0.15107602718785607,-0.76647758454288,-0.005192295080611563,-0.006805464070410359,-0.473985530330145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.006700845440367
-0.007815319853305112,-0.038814001366594256,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005384732609190071,-0.006805464070410359,-0.19579849624764567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8.31898612539206
-0.007812931913005663,-0.029347172263807474,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.3767751912827289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7.650168700845001
-0.007810352937482257,-0.032755230740810715,-0.03357832733220352,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.44606341166758934,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8.778171881033469
-0.0061001100950165196,-0.029347172263807474,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.44089264895230124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.987321812850125
-0.007814173641961377,-0.029347172263807474,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.006805464070410359,-0.4667464625287417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.944846711001996
-0.007805968679092468,-0.035027269725479544,-0.024134178436683716,-0.15107602718785607,-0.10542927112537553,-0.005192295080611563,-0.005343282512430001,1.7877060813368666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,8.575650760987806
